[2022-05-05 02:53:25,627][train.py][line:76][INFO] Iteration: [    0/ 2000] |                   rec_loss = 0.4591
[2022-05-05 02:53:46,119][train.py][line:76][INFO] Iteration: [  100/ 2000] |                   rec_loss = 0.0808
[2022-05-05 02:54:06,535][train.py][line:76][INFO] Iteration: [  200/ 2000] |                   rec_loss = 0.0424
[2022-05-05 02:54:26,999][train.py][line:76][INFO] Iteration: [  300/ 2000] |                   rec_loss = 0.0241
[2022-05-05 02:54:47,446][train.py][line:76][INFO] Iteration: [  400/ 2000] |                   rec_loss = 0.0141
[2022-05-05 02:55:07,918][train.py][line:76][INFO] Iteration: [  500/ 2000] |                   rec_loss = 0.0095
[2022-05-05 02:55:28,391][train.py][line:76][INFO] Iteration: [  600/ 2000] |                   rec_loss = 0.0080
[2022-05-05 02:55:48,858][train.py][line:76][INFO] Iteration: [  700/ 2000] |                   rec_loss = 0.0117
[2022-05-05 02:56:09,298][train.py][line:76][INFO] Iteration: [  800/ 2000] |                   rec_loss = 0.0050
[2022-05-05 02:56:29,732][train.py][line:76][INFO] Iteration: [  900/ 2000] |                   rec_loss = 0.0049
[2022-05-05 02:56:50,217][train.py][line:76][INFO] Iteration: [ 1000/ 2000] |                   rec_loss = 0.0042
[2022-05-05 02:57:10,643][train.py][line:76][INFO] Iteration: [ 1100/ 2000] |                   rec_loss = 0.0042
[2022-05-05 02:57:31,114][train.py][line:76][INFO] Iteration: [ 1200/ 2000] |                   rec_loss = 0.0036
[2022-05-05 02:57:51,503][train.py][line:76][INFO] Iteration: [ 1300/ 2000] |                   rec_loss = 0.0055
[2022-05-05 02:58:11,749][train.py][line:76][INFO] Iteration: [ 1400/ 2000] |                   rec_loss = 0.0035
[2022-05-05 02:58:32,029][train.py][line:76][INFO] Iteration: [ 1500/ 2000] |                   rec_loss = 0.0042
[2022-05-05 02:58:52,282][train.py][line:76][INFO] Iteration: [ 1600/ 2000] |                   rec_loss = 0.0028
[2022-05-05 02:59:12,511][train.py][line:76][INFO] Iteration: [ 1700/ 2000] |                   rec_loss = 0.0041
[2022-05-05 02:59:32,733][train.py][line:76][INFO] Iteration: [ 1800/ 2000] |                   rec_loss = 0.0028
[2022-05-05 02:59:52,995][train.py][line:76][INFO] Iteration: [ 1900/ 2000] |                   rec_loss = 0.0024
[2022-05-05 03:00:14,100][train.py][line:105][INFO] Pretrain G|  [    0/2000] | rec_loss = 1.1596             
[2022-05-05 03:00:55,377][train.py][line:105][INFO] Pretrain G|  [  100/2000] | rec_loss = 0.1815             
[2022-05-05 03:01:36,456][train.py][line:105][INFO] Pretrain G|  [  200/2000] | rec_loss = 0.1742             
[2022-05-05 03:02:17,459][train.py][line:105][INFO] Pretrain G|  [  300/2000] | rec_loss = 0.1598             
[2022-05-05 03:02:58,910][train.py][line:105][INFO] Pretrain G|  [  400/2000] | rec_loss = 0.1624             
[2022-05-05 03:03:40,462][train.py][line:105][INFO] Pretrain G|  [  500/2000] | rec_loss = 0.1547             
[2022-05-05 03:04:21,786][train.py][line:105][INFO] Pretrain G|  [  600/2000] | rec_loss = 0.1541             
[2022-05-05 03:05:02,711][train.py][line:105][INFO] Pretrain G|  [  700/2000] | rec_loss = 0.1455             
[2022-05-05 03:05:43,661][train.py][line:105][INFO] Pretrain G|  [  800/2000] | rec_loss = 0.1329             
[2022-05-05 03:06:24,560][train.py][line:105][INFO] Pretrain G|  [  900/2000] | rec_loss = 0.1489             
[2022-05-05 03:07:05,469][train.py][line:105][INFO] Pretrain G|  [ 1000/2000] | rec_loss = 0.1339             
[2022-05-05 03:07:47,132][train.py][line:105][INFO] Pretrain G|  [ 1100/2000] | rec_loss = 0.1480             
[2022-05-05 03:08:28,077][train.py][line:105][INFO] Pretrain G|  [ 1200/2000] | rec_loss = 0.1347             
[2022-05-05 03:09:09,023][train.py][line:105][INFO] Pretrain G|  [ 1300/2000] | rec_loss = 0.1436             
[2022-05-05 03:09:49,961][train.py][line:105][INFO] Pretrain G|  [ 1400/2000] | rec_loss = 0.1366             
[2022-05-05 03:10:30,919][train.py][line:105][INFO] Pretrain G|  [ 1500/2000] | rec_loss = 0.1413             
[2022-05-05 03:11:11,822][train.py][line:105][INFO] Pretrain G|  [ 1600/2000] | rec_loss = 0.1371             
[2022-05-05 03:11:52,733][train.py][line:105][INFO] Pretrain G|  [ 1700/2000] | rec_loss = 0.1356             
[2022-05-05 03:12:33,693][train.py][line:105][INFO] Pretrain G|  [ 1800/2000] | rec_loss = 0.1394             
[2022-05-05 03:13:14,630][train.py][line:105][INFO] Pretrain G|  [ 1900/2000] | rec_loss = 0.1304             
